lat,lon,value
42.3170776,-71.1133574,800
42.325655,-71.093995,800
42.38018,-71.1086984,800
42.3677885,-71.1094374,800
42.4047086,-71.1296443,800
42.33816,-71.1533589,800
42.386316,-71.109323,800
42.3785579,-71.0925716,800
42.304129,-71.166573,800
42.304129,-71.166573,800
42.3454334,-71.1271922,800
42.35886,-71.113106,800
42.3748735,-71.1513389,800
42.3816579,-71.083853,800
42.371124,-71.110808,800
42.357977,-71.1264922,800
42.3468804,-71.1386411,800
42.3468804,-71.1386411,800
42.3318257,-71.0971126,800
42.3843632,-71.1004238,800
42.3716604,-71.0847977,800
42.397953,-71.1267185,800
42.4182789,-71.0673779,800
42.371754,-71.0855385,800
42.2566174,-71.0074583,800
42.323962,-71.089849,800
42.2928057,-71.0506377,800
42.2928057,-71.0506377,800
42.3318257,-71.0971126,800
42.3326793,-71.1005902,800
42.3494446,-71.1489208,800
42.3298462,-71.1005091,800
42.34434,-71.095996,800
42.387929,-71.1154223,800
42.3324107,-71.1056177,800
42.405231,-71.1303465,800
42.3295353,-71.0570568,800
42.421041,-71.138973,800
42.36894,-71.036197,800
42.3367912,-71.0981525,800
42.3420818,-71.1458002,800
42.3316001,-71.1076872,800
42.2600819,-71.1583665,800
42.3862007,-71.1161524,800
42.3655814,-71.1136812,800
42.3153795,-71.1104152,800
42.3456105,-71.0894537,800
42.3456105,-71.0894537,800
42.3395592,-71.1486791,825
42.391868,-71.111638,825
42.3311888,-71.1058937,825
42.3046488,-71.1068911,825
42.387466,-71.1113067,825
42.419777,-71.134523,825
42.4165907,-71.129429,825
42.326358,-71.1425682,825
42.3323095,-71.0995088,825
42.3851543,-71.1129233,825
42.388432,-71.1106189,825
42.402407,-71.126808,825
42.351559,-71.173838,825
42.4038031,-71.1332284,825
42.3713492,-71.1788868,825
42.4134658,-71.0557453,825
42.388432,-71.1106189,825
42.378839,-71.1040626,850
42.393852,-71.1162031,850
42.393852,-71.1162031,850
42.3330412,-71.1333301,850
42.3330412,-71.1333301,850
42.382436,-71.103423,850
42.3703467,-71.1604259,850
42.3684769,-71.1760088,850
42.3733975,-71.0981125,850
42.3815734,-71.1162375,850
42.2927778,-71.0628415,850
42.3928214,-71.1119532,850
42.3636864,-71.0521182,850
42.336247,-71.05389,850
42.360346,-71.1288671,850
42.3295779,-71.1020031,850
42.314638,-71.114116,850
42.3409567,-71.0813559,850
42.3588669,-71.124511,850
42.3456105,-71.0894537,850
42.3526098,-71.1283568,850
42.3526098,-71.1283568,850
42.337976,-71.1358075,850
42.340788,-71.1161798,850
42.4188475,-71.0647163,850
42.292332,-71.138509,850
42.407289,-71.030624,850
42.3648865,-71.1057845,850
42.3900028,-71.1207154,850
42.3373875,-71.1739449,875
42.421254,-71.133097,875
42.3383677,-71.1521147,875
42.3788299,-71.1238789,875
42.4183,-71.1359,875
42.387794,-71.109631,875
42.371927,-71.081331,875
42.3372311,-71.1753641,875
42.3372311,-71.1753641,875
42.3428248,-71.0737836,875
42.34725,-71.1352938,875
42.350592,-71.155298,875
42.3398808,-71.1539732,875
42.3319008,-71.0978935,875
42.3634144,-71.1019284,875
42.4272851,-71.0743382,875
42.3429325,-71.0883227,875
42.319083,-71.056732,900
42.3845768,-71.0926661,900
42.3985746,-71.116688,900
42.3526098,-71.1283568,900
42.3923524,-71.0930505,900
42.36725,-71.101311,900
42.3612613,-71.1087339,900
42.3695661,-71.1118681,900
42.370101,-71.039891,900
42.369692,-71.040227,900
42.3135593,-71.1052132,900
42.32439,-71.1146601,900
42.2877988,-71.130726,900
42.3327793,-71.1105326,900
42.3402828,-71.1467904,900
42.341364,-71.1468257,900
42.388167,-71.1194708,900
42.3595298,-71.0686299,900
42.3505218,-71.0825809,900
42.319002,-71.043949,900
42.345166,-71.1198118,900
42.4014091,-70.9850308,900
42.278065,-71.123592,900
42.3392016,-71.1211436,900
42.3171283,-71.0400397,900
42.3898271,-71.0978896,900
42.343499,-71.089941,900
42.3426342,-71.0865825,900
42.3440614,-71.0908298,900
42.3998693,-71.0262741,900
42.3979019,-71.0970888,900
42.3979019,-71.0970888,900
42.3472838,-71.1166145,900
42.3472838,-71.1166145,900
42.4038712,-71.0479315,900
42.3777306,-71.1202359,900
42.3642966,-71.1160691,900
42.4193,-71.0273,900
42.349628,-71.081455,900
42.3670032,-71.0978579,925
42.402935,-71.012565,925
42.420486,-71.1700944,925
42.3554704,-71.072453,925
42.416788,-71.160409,925
42.4271103,-71.0705533,925
42.4274651,-71.068311,950
42.4224,-71.1668,950
42.348438,-71.137716,950
42.3431875,-71.1419274,950
