rent,lon,lat,bedrooms,apt_id
575,-71.098201,42.368195,0,78297885
575,-71.1292947,42.3607012,0,78109897
575,-71.127742,42.353492,0,77985995
575,-71.1631758,42.3701426,0,77895779
575,-71.1498,42.3746588,0,77857692
575,-71.1076753,42.3600612,0,77679068
575,-71.1363278,42.3540483,1,78314390
575,-71.14606,42.3381,4,78085372
600,-71.0958754,42.3778345,0,78596094
600,-71.129517,42.4085307,0,78586583
600,-71.133113,42.35894,0,78543926
600,-71.133113,42.35894,0,78543923
600,-71.03081,42.28271,0,78543743
600,-71.03081,42.28271,0,78543742
600,-71.1445515,42.3446131,0,78397178
600,-71.1363278,42.3540483,0,78369658
600,-71.0250777,42.2674042,0,78369535
600,-71.0821717,42.3175605,0,78359589
600,-71.101393,42.3640007,0,78359577
600,-71.0917993,42.391597,0,78324665
600,-71.1337445,42.3625878,0,78324466
600,-71.029643,42.395297,0,78324330
600,-71.1636064,42.3231,0,78323986
600,-71.115245,42.306632,0,78323916
600,-71.1139024,42.3644875,0,78314398
600,-71.0814895,42.371232,0,78298107
600,-71.1300279,42.3492044,0,78297848
600,-71.1096016,42.3331891,0,78297841
600,-71.17062,42.350183,0,78288217
600,-71.0905037,42.3118949,0,78288191
600,-71.097803,42.373859,0,78288187
600,-71.1556809,42.3402352,0,78279643
600,-71.1409936,42.345938,0,78275733
600,-71.1041214,42.3957634,0,78247904
600,-71.142816,42.361185,0,78239208
600,-71.112431,42.3578829,0,78221734
600,-71.0964723,42.3796843,0,78211861
600,-71.0903493,42.390617,0,78189472
600,-71.0903493,42.390617,0,78189466
600,-71.006835,42.418218,0,78165684
600,-71.1247045,42.3261149,0,78154930
600,-71.170756,42.349986,0,78154885
600,-71.1006098,42.3910971,0,78145701
600,-71.1396748,42.3626165,0,78145669
600,-71.1396748,42.3626165,0,78145668
600,-71.076032,42.428994,0,78133034
600,-71.1141654,42.3908583,0,78079186
600,-71.1426021,42.326476,0,78079182
600,-71.018486,42.413762,0,78041062
600,-71.1038952,42.3316317,0,78031842
600,-71.12762,42.403456,0,78006809
600,-71.1051965,42.3785275,0,77965614
600,-71.132248,42.3481538,0,77955812
600,-71.1138691,42.2994666,0,77923232
600,-71.1010465,42.313022,0,77918306
600,-71.068394,42.4182359,0,77912428
600,-71.149213,42.340329,0,77857681
600,-71.135229,42.419089,0,77824883
600,-71.058638,42.30673,0,77814869
600,-71.051415,42.311125,0,77807332
600,-71.1314394,42.3584882,0,77801807
600,-71.0901719,42.3776691,0,77797901
600,-71.1248175,42.4070021,0,77771939
600,-71.1279795,42.3953196,0,77767856
600,-71.1220431,42.3521281,0,77766500
600,-71.114002,42.400515,0,77699368
600,-71.1616385,42.367798,0,77699278
600,-71.1254579,42.395453,1,78506097
600,-71.1467904,42.3402828,1,78323689
600,-71.107203,42.389269,1,78311183
600,-71.1013345,42.33296,1,78297808
600,-71.151915,42.35164,1,78129225
600,-71.0974625,42.3743551,1,78084733
600,-71.068394,42.4182359,1,77895717
600,-71.0528115,42.3660607,1,77848762
600,-71.1405531,42.2861261,2,78359427
600,-71.136661,42.346767,2,78323742
600,-71.1269159,42.3523243,2,78303406
600,-71.115339,42.366329,2,77797896
625,-71.0987257,42.3868323,0,78554465
625,-71.0614905,42.4292923,0,78543808
625,-71.136602,42.405439,0,78410257
625,-71.1414431,42.3459399,0,78371862
625,-71.140266,42.352543,0,78297984
625,-71.1500533,42.3445567,0,78297884
625,-71.1012378,42.383186,0,78268156
625,-71.029112,42.2602827,0,78189455
625,-71.029112,42.2602827,0,78189454
625,-71.0750665,42.3350046,0,78165454
625,-71.1092638,42.3221722,0,78041058
625,-71.154025,42.351371,0,77935230
625,-71.110716,42.312061,0,77857748
625,-71.0282704,42.2858841,0,77666888
625,-71.0848601,42.2561125,0,77663333
625,-71.1355361,42.3518479,1,78297826
625,-71.1302242,42.3541364,1,77788373
625,-71.1103171,42.310232,2,77999343
625,-71.1295024,42.3485006,3,78323793
650,-71.1621218,42.3463679,0,78596058
650,-71.1340576,42.3531805,0,78585749
650,-71.065637,42.297225,0,78566504
650,-71.0947349,42.3688234,0,78566351
650,-71.1160139,42.4015145,0,78554513
650,-71.0324837,42.3760709,0,78501392
650,-71.1298433,42.3507441,0,78382663
650,-71.0610406,42.3224311,0,78369678
650,-71.1097158,42.3727501,0,78369597
650,-71.046753,42.407169,0,78369543
650,-71.1547478,42.341216,0,78350008
650,-71.066696,42.28513,0,78349978
650,-71.1308877,42.3971928,0,78330714
650,-71.0648124,42.2929814,0,78324472
